,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Continuity,Next Rtg,Next Cont,Next WS,Veteran Value,VV Class,Player Level
154,1999,Chris Childs,PG,31.0,NYK,48.0,1297.0,11.1,0.544,0.352,0.292,1.7,10.1,25.8,1.9,0.1,22.0,14.3,1.2,1.7,2.9,0.106,-0.3,0.4,0.383,0.451,0.821,1.2,0.69,1.5,0.94,2.1,-1939.0304847576208,1,1
155,1999,Patrick Ewing,C,36.0,NYK,38.0,1300.0,19.4,0.491,0.004,0.407,7.0,26.5,7.0,1.3,6.0,12.9,28.4,0.2,3.1,3.3,0.123,-3.3,2.8,0.0,0.436,0.706,1.2,0.69,1.5,0.94,4.8,3194.993412384717,0,1
156,1999,Bimbo Coles,PG,30.0,GSW,48.0,1272.0,14.8,0.496,0.06,0.244,1.7,8.3,30.6,1.9,0.6,15.2,18.9,1.6,1.1,2.7,0.103,-0.3,-0.7,0.24,0.455,0.822,-2.9,0.58,-5.7,0.45,2.3,3.5435493460166443,0,1
158,1999,John Starks,SG,33.0,GSW,50.0,1686.0,13.9,0.447,0.37,0.137,2.0,8.4,25.2,2.2,0.2,9.7,22.5,1.5,1.5,3.0,0.085,1.7,-0.6,0.29,0.416,0.74,-2.9,0.58,-8.4,0.51,0.5,1.8563614744351966,0,0
159,1999,Michael Curry,SF,30.0,MIL,50.0,1146.0,8.7,0.507,0.073,0.383,2.0,9.2,10.5,2.0,0.5,13.3,11.6,0.9,0.8,1.7,0.07,-1.3,0.4,0.067,0.466,0.797,1.8,0.6,1.4,0.77,2.0,3.267973856209517,0,0
160,1999,Vinny Del,PG,32.0,MIL,48.0,1093.0,12.3,0.481,0.111,0.185,1.6,9.6,25.5,1.7,0.2,15.9,15.2,1.0,0.6,1.6,0.07,-0.9,-1.3,0.433,0.421,0.8,1.8,0.6,0.3,0.83,1.5,12.311111111111101,0,0
163,1999,Mark Jackson,PG,33.0,IND,49.0,1382.0,17.9,0.513,0.313,0.24,2.9,12.7,45.4,1.7,0.2,21.4,16.0,3.0,0.9,3.8,0.134,2.8,-1.3,0.311,0.469,0.823,4.3,0.92,5.1,0.98,6.7,2010.1378319408218,0,1
164,1999,Reggie Miller,SG,33.0,IND,50.0,1787.0,18.7,0.59,0.41,0.368,1.7,7.2,11.4,1.2,0.4,8.9,22.9,6.0,0.4,6.4,0.172,5.6,-2.1,0.385,0.475,0.915,4.3,0.92,5.1,0.98,10.1,1522.7660515672383,0,2
166,1999,Rik Smits,C,32.0,IND,49.0,1271.0,20.2,0.527,0.003,0.209,6.9,18.5,8.7,0.8,3.0,9.8,28.9,2.3,1.2,3.4,0.13,0.4,-1.0,0.0,0.491,0.818,4.3,0.92,5.1,0.98,3.8,309.87926009635373,0,1
167,1999,Vlade Divac,C,30.0,SAC,50.0,1761.0,18.0,0.533,0.077,0.458,8.4,21.5,19.2,1.2,1.8,16.4,19.4,3.1,2.1,5.2,0.142,0.8,1.8,0.256,0.488,0.702,-0.4,0.29,2.9,0.76,7.2,76923.07692307692,0,1
169,1999,Mario Elie,SG,35.0,SAS,47.0,1291.0,14.5,0.593,0.323,0.36,3.3,8.3,11.5,1.9,0.6,13.7,16.0,2.6,1.9,4.5,0.169,1.7,1.1,0.374,0.518,0.866,9.1,0.71,6.4,0.83,4.6,39.51916627972949,0,1
171,1999,Avery Johnson,PG,33.0,SAS,50.0,1672.0,14.0,0.487,0.026,0.191,1.6,6.1,37.4,1.7,0.5,18.3,17.0,1.7,2.2,3.9,0.111,-0.5,-0.8,0.083,0.483,0.568,9.1,0.71,6.4,0.83,6.3,1094.3769123617437,0,1
172,1999,David Robinson,C,33.0,SAS,49.0,1554.0,24.9,0.564,0.002,0.689,11.4,23.4,12.1,2.4,5.3,13.6,23.8,4.0,4.4,8.4,0.261,2.2,5.3,0.0,0.51,0.658,9.1,0.71,6.4,0.83,12.7,910.3522232294858,0,2
173,1999,Danny Ferry,PF,32.0,CLE,50.0,1058.0,11.0,0.562,0.328,0.111,1.9,10.3,9.7,1.2,0.8,11.2,16.1,1.0,0.7,1.7,0.077,-0.2,-1.2,0.392,0.518,0.879,-1.9,0.78,-3.5,0.67,2.7,3425.418750496151,0,0
175,1999,Sam Mitchell,SF,35.0,MIN,50.0,1344.0,14.1,0.472,0.073,0.316,4.2,11.5,12.0,1.4,0.9,5.4,20.6,1.9,1.1,3.0,0.108,-0.6,-1.0,0.237,0.421,0.764,0.5,0.5,2.5,0.87,2.3,-17966.666666666668,1,1
176,1999,Kendall Gill,SF,30.0,NJN,50.0,1606.0,14.8,0.441,0.029,0.282,4.0,13.3,13.8,4.4,1.2,9.6,20.3,0.3,2.2,2.6,0.076,-1.1,2.3,0.118,0.406,0.683,-4.2,0.59,-1.1,0.86,3.7,2615.632954616005,0,0
178,1999,Tim Hardaway,PG,32.0,MIA,48.0,1772.0,18.8,0.511,0.414,0.198,1.1,8.7,39.6,1.8,0.3,13.8,26.5,3.4,1.9,5.4,0.146,4.5,-1.6,0.36,0.429,0.812,5.8,0.77,3.1,0.81,4.3,2.1489638887758002,0,1
179,1999,Dan Majerle,SG,33.0,MIA,48.0,1624.0,10.2,0.529,0.681,0.154,1.7,13.0,15.4,1.3,0.3,14.7,11.4,1.6,1.9,3.5,0.103,0.9,1.0,0.335,0.526,0.717,5.8,0.77,3.1,0.81,6.1,3251.871281427931,0,1
180,1999,Terry Porter,PG,35.0,MIA,50.0,1365.0,16.9,0.603,0.381,0.4,1.2,10.5,19.6,2.0,0.6,14.5,18.4,3.3,1.7,5.0,0.178,2.8,0.0,0.411,0.498,0.831,5.8,0.77,6.4,0.83,5.6,227.31751007613067,0,1
182,1999,Jeff Hornacek,SG,35.0,UTA,48.0,1435.0,17.8,0.575,0.18,0.312,3.0,10.1,24.7,2.0,0.7,13.8,19.7,3.5,1.8,5.3,0.176,2.7,0.4,0.42,0.489,0.893,7.4,0.91,4.6,0.79,6.5,1042.3029290953823,0,1
183,1999,Karl Malone,PF,35.0,UTA,49.0,1832.0,25.6,0.577,0.001,0.602,7.7,22.1,23.0,1.9,1.2,13.8,30.5,6.2,3.4,9.6,0.252,4.5,2.3,0.0,0.494,0.788,7.4,0.91,4.6,0.79,15.3,2733.3308583308594,0,3
184,1999,John Stockton,PG,36.0,UTA,50.0,1410.0,21.9,0.571,0.122,0.412,2.9,9.3,48.3,3.2,0.7,18.5,20.1,4.2,2.2,6.4,0.217,4.0,-0.1,0.32,0.511,0.811,7.4,0.91,4.6,0.79,11.2,3452.628452628452,0,1
186,1999,Mitch Richmond,SG,33.0,WAS,50.0,1912.0,15.5,0.527,0.275,0.365,1.8,8.9,11.4,1.8,0.4,12.7,25.7,2.2,1.0,3.3,0.082,1.4,-1.8,0.317,0.448,0.857,-2.3,0.63,-3.4,0.63,5.2,2753.6231884057984,0,0
187,1999,Rod Strickland,PG,32.0,WAS,44.0,1632.0,20.2,0.488,0.07,0.391,3.9,11.4,45.9,2.5,0.2,16.7,24.0,2.8,1.3,4.1,0.12,3.1,-0.3,0.286,0.426,0.746,-2.3,0.63,-3.4,0.63,3.7,4.902173913043486,0,1
189,1999,Arvydas Sabonis,C,34.0,POR,50.0,1349.0,20.4,0.546,0.05,0.366,7.8,25.2,16.2,1.4,3.5,13.3,21.7,3.0,2.9,5.8,0.207,1.0,3.3,0.292,0.496,0.771,6.6,0.83,6.9,0.63,7.1,462.76013143482993,0,1
191,2000,Jon Barry,SG,30.0,SAC,62.0,1281.0,15.9,0.623,0.445,0.335,3.1,9.9,16.7,2.8,0.4,17.6,15.7,2.6,1.6,4.2,0.157,1.9,0.7,0.429,0.495,0.922,2.9,0.76,5.7,0.71,2.4,-3583.743842364532,1,0
192,2000,Vlade Divac,C,31.0,SAC,82.0,2374.0,18.0,0.552,0.034,0.436,7.6,21.3,15.4,2.1,2.8,17.3,19.3,3.0,4.1,7.2,0.145,-0.1,3.5,0.269,0.511,0.691,2.9,0.76,5.7,0.71,7.4,232.27969348659022,0,1
194,2000,Scottie Pippen,SF,34.0,POR,82.0,2749.0,16.4,0.533,0.306,0.259,5.1,16.2,23.7,2.3,1.1,17.8,19.6,3.4,4.4,7.8,0.137,2.0,2.2,0.327,0.506,0.717,6.9,0.63,4.2,0.81,5.1,0.6280193236714973,0,1
195,2000,Arvydas Sabonis,C,35.0,POR,66.0,1688.0,20.3,0.568,0.032,0.331,7.1,27.6,12.0,1.4,3.4,12.4,21.4,3.6,3.5,7.1,0.203,0.2,2.6,0.368,0.509,0.843,6.9,0.63,4.2,0.81,3.7,0.4539641943734014,0,1
197,2000,Steve Smith,SG,30.0,POR,82.0,2689.0,17.3,0.584,0.268,0.378,5.7,7.9,12.8,1.4,0.9,10.0,20.0,7.7,2.7,10.4,0.186,3.6,-0.4,0.398,0.492,0.85,6.9,0.63,4.2,0.81,8.2,1.0276679841897225,0,1
198,2000,Darrell Armstrong,PG,31.0,ORL,82.0,2590.0,19.5,0.542,0.36,0.221,2.7,8.6,31.4,3.2,0.2,16.8,23.9,4.6,3.4,8.0,0.149,4.3,0.0,0.34,0.485,0.911,0.8,0.33,1.0,0.56,8.7,981.0606060606052,0,1
199,2000,Chris Gatling,PF,32.0,ORL,45.0,1041.0,17.4,0.525,0.05,0.53,9.5,21.5,6.4,2.3,0.7,15.6,27.2,0.8,1.7,2.5,0.115,-1.3,-0.6,0.304,0.462,0.698,0.8,0.33,-4.2,0.41,2.4,188.06818181818164,0,0
201,2000,Mitch Richmond,SG,34.0,WAS,74.0,2397.0,16.5,0.536,0.23,0.324,1.8,8.6,13.5,2.4,0.4,11.4,25.0,3.8,1.4,5.2,0.104,1.9,-1.4,0.386,0.438,0.876,-3.4,0.63,-6.8,0.68,1.6,1.6737213403880076,0,1
202,2000,Rod Strickland,PG,33.0,WAS,69.0,2188.0,17.1,0.485,0.028,0.4,3.8,9.9,38.9,2.2,0.6,17.3,22.0,2.4,1.3,3.7,0.081,1.2,-0.7,0.048,0.44,0.702,-3.4,0.63,-6.8,0.68,1.8,2.256474519632415,0,0
203,2000,Dana Barros,PG,32.0,BOS,72.0,1139.0,15.1,0.552,0.331,0.175,1.2,9.1,19.4,1.4,0.3,12.3,20.4,2.0,0.5,2.4,0.103,0.9,-3.1,0.41,0.471,0.868,-1.1,0.68,-1.8,0.4,2.3,-15.597147950089152,1,0
204,2000,Mookie Blaylock,PG,32.0,GSW,73.0,2459.0,15.1,0.468,0.36,0.114,2.2,9.8,31.8,3.0,0.6,14.0,17.5,1.9,1.4,3.3,0.065,1.0,-0.8,0.336,0.422,0.705,-8.4,0.51,-9.2,0.62,3.5,200.88843618255382,0,0
206,2000,John Starks,SG,34.0,GSW,33.0,1108.0,12.4,0.456,0.317,0.106,0.9,8.2,26.2,1.7,0.2,10.7,22.6,0.4,0.1,0.5,0.024,0.3,-3.1,0.348,0.392,0.833,-8.4,0.51,5.2,0.66,2.1,57635.8543417367,0,0
210,2000,Charles Oakley,PF,36.0,TOR,80.0,2431.0,10.1,0.459,0.073,0.152,5.2,20.2,15.8,2.2,1.3,20.5,13.7,-0.7,2.9,2.2,0.044,-2.9,2.3,0.341,0.424,0.776,-0.1,0.72,2.3,0.64,3.7,146212.12121212122,0,0
211,2000,Kevin Willis,PF,37.0,TOR,79.0,1679.0,12.3,0.471,0.005,0.288,13.0,19.4,4.8,1.1,2.0,13.3,19.5,0.7,1.6,2.3,0.066,-3.1,-1.2,0.333,0.415,0.799,-0.1,0.72,-2.8,0.7,1.4,67.01234567901234,0,0
213,2000,Tim Hardaway,PG,33.0,MIA,52.0,1672.0,16.4,0.5,0.401,0.208,1.8,8.3,38.2,1.6,0.2,14.6,22.8,2.6,1.6,4.3,0.123,2.6,-2.1,0.367,0.398,0.827,3.1,0.81,2.3,0.45,6.4,2870.7176794198563,0,1
214,2000,Dan Majerle,SG,34.0,MIA,69.0,2308.0,11.4,0.559,0.72,0.164,1.4,14.6,13.2,2.1,0.5,12.1,10.4,2.8,3.3,6.1,0.126,1.0,1.9,0.362,0.508,0.812,3.1,0.81,2.3,0.45,2.6,1.0244751664106504,0,1
215,2000,Randy Brown,PG,31.0,CHI,59.0,1625.0,7.3,0.402,0.014,0.193,1.6,8.9,22.6,2.0,0.7,18.2,16.2,-2.0,1.2,-0.8,-0.024,-5.2,-0.5,0.5,0.359,0.738,-10.0,0.28,-2.2,0.65,0.9,10397.321428571428,0,0
219,2000,Danny Ferry,PF,33.0,CLE,63.0,1326.0,11.8,0.571,0.197,0.15,4.6,15.6,8.3,0.8,1.3,12.0,15.1,1.6,1.1,2.7,0.099,-1.0,-0.3,0.44,0.511,0.912,-3.5,0.67,8.3,0.75,4.1,18949.695964621325,0,0
220,2000,Shawn Kemp,C,30.0,CLE,82.0,2492.0,17.2,0.508,0.005,0.547,10.2,22.4,10.0,2.0,2.8,16.8,30.2,0.2,3.8,4.0,0.077,-2.3,0.8,0.333,0.418,0.776,-3.5,0.67,4.2,0.81,0.9,-18993.283582089553,1,0
221,2000,Matt Bullard,PF,32.0,HOU,56.0,1024.0,11.9,0.541,0.521,0.088,1.5,13.4,9.9,0.9,0.8,9.2,16.7,1.3,0.6,1.8,0.087,0.1,-1.9,0.446,0.368,0.833,-0.8,0.35,2.4,0.88,2.6,37968.25396825397,0,0
222,2000,Hakeem Olajuwon,C,37.0,HOU,44.0,1049.0,16.7,0.484,0.005,0.266,7.1,21.9,10.2,2.0,4.3,13.4,22.7,0.0,1.6,1.6,0.072,-3.0,2.0,0.0,0.461,0.616,-0.8,0.35,2.4,0.88,5.0,181535.71428571426,0,0
223,2000,Sam Cassell,PG,30.0,MIL,81.0,2899.0,21.1,0.551,0.077,0.38,2.8,9.3,41.1,1.8,0.2,16.4,25.0,8.4,0.8,9.2,0.152,4.1,-2.3,0.289,0.481,0.876,0.3,0.83,4.2,0.75,8.5,-8864.588789942372,1,2
225,2000,Ervin Johnson,C,32.0,MIL,80.0,2129.0,12.7,0.55,0.004,0.563,12.8,22.7,2.8,2.0,4.5,18.7,8.9,2.4,2.6,4.9,0.111,-1.0,2.7,0.0,0.518,0.605,0.3,0.83,4.2,0.75,5.1,4755.347922301435,0,1
226,2000,Danny Manning,PF,33.0,MIL,72.0,1217.0,10.1,0.46,0.012,0.153,4.8,15.1,8.9,2.6,1.8,13.2,15.2,-0.1,1.1,1.0,0.039,-2.8,0.8,0.25,0.442,0.654,0.3,0.83,5.2,0.66,2.6,204530.12048192776,0,0
230,2000,Chris Childs,PG,32.0,NYK,71.0,1675.0,8.6,0.491,0.291,0.165,1.2,8.9,26.4,1.2,0.2,21.5,13.8,0.4,1.7,2.1,0.061,-1.9,-0.4,0.356,0.431,0.797,1.5,0.94,3.0,0.76,2.0,-293.81965552178355,1,0
232,2000,Larry Johnson,PF,30.0,NYK,70.0,2281.0,12.4,0.517,0.267,0.256,4.7,14.8,12.6,1.0,0.2,11.5,17.0,2.3,2.7,5.1,0.107,0.4,0.9,0.333,0.469,0.766,1.5,0.94,3.0,0.76,4.1,-1209.8456403838136,1,1
235,2000,Michael Curry,SG,31.0,DET,82.0,1611.0,8.6,0.559,0.013,0.443,1.5,6.0,8.3,1.0,0.2,13.9,14.3,1.6,0.5,2.0,0.06,-2.1,-1.9,0.2,0.484,0.839,1.4,0.77,-1.8,0.4,1.7,11.11935683364255,0,0
239,2000,Mark Jackson,PG,34.0,IND,81.0,2190.0,17.7,0.538,0.388,0.172,3.4,11.5,45.0,1.8,0.3,22.1,16.3,4.6,2.0,6.7,0.146,2.5,-1.0,0.403,0.45,0.806,5.1,0.98,2.3,0.64,4.7,2.3633653461384556,0,1
240,2000,Reggie Miller,SG,34.0,IND,81.0,2987.0,17.3,0.603,0.388,0.39,2.0,6.8,10.2,1.5,0.6,9.6,20.5,8.0,2.0,10.1,0.162,4.0,-0.8,0.408,0.473,0.919,5.1,0.98,-0.2,0.84,10.3,204.6759297778529,0,2
245,2000,Avery Johnson,PG,34.0,SAS,82.0,2571.0,14.8,0.5,0.011,0.182,1.5,5.3,32.5,1.6,0.5,13.2,19.0,3.3,3.0,6.3,0.117,0.1,-1.2,0.111,0.477,0.735,6.4,0.83,8.3,0.75,2.6,-1009.4246031746035,1,1
247,2000,Terry Porter,PG,36.0,SAS,68.0,1613.0,16.6,0.596,0.447,0.367,1.8,11.3,22.3,1.6,0.4,15.7,18.3,3.4,2.3,5.6,0.168,2.7,0.0,0.435,0.457,0.806,6.4,0.83,8.3,0.75,5.4,-61.38392857142836,1,0
248,2000,David Robinson,C,34.0,SAS,80.0,2557.0,24.6,0.568,0.002,0.496,9.0,24.5,10.3,2.0,4.9,11.6,25.6,6.2,6.4,12.7,0.238,1.6,3.9,0.0,0.513,0.726,6.4,0.83,8.3,0.75,12.1,-81.20078740157477,1,2
249,2000,Rick Fox,SF,30.0,LAL,82.0,1473.0,11.7,0.502,0.363,0.157,4.6,9.7,14.4,1.8,1.2,14.0,18.5,0.9,2.3,3.2,0.104,-0.4,0.2,0.326,0.464,0.808,9.0,0.69,3.5,0.72,5.1,3528.079710144926,0,0
250,2000,A.C. Green,PF,36.0,LAL,82.0,1929.0,11.2,0.482,0.01,0.245,9.0,17.9,5.9,1.4,0.7,11.0,11.0,1.7,3.3,5.0,0.124,-2.0,1.8,0.25,0.449,0.695,9.0,0.69,2.3,0.45,3.2,2.314814814814815,0,0
251,2000,Ron Harper,PG,36.0,LAL,80.0,2042.0,12.0,0.468,0.2,0.277,5.1,12.5,19.2,2.1,1.3,18.1,15.6,0.4,3.5,4.0,0.093,-1.4,2.1,0.311,0.421,0.68,9.0,0.69,3.5,0.72,1.8,1.0803689064558628,0,0
252,2000,Glen Rice,SF,32.0,LAL,80.0,2530.0,16.2,0.551,0.234,0.404,2.4,11.3,11.1,1.0,0.3,9.0,22.0,5.7,3.2,9.0,0.17,1.4,-1.0,0.367,0.449,0.874,9.0,0.69,3.0,0.76,5.7,1.7259552042160737,0,2
253,2000,Brian Shaw,SG,33.0,LAL,74.0,1249.0,10.9,0.441,0.18,0.168,3.9,14.5,23.2,1.4,0.8,17.8,14.8,0.2,2.0,2.1,0.082,-2.5,0.9,0.31,0.398,0.759,9.0,0.69,3.5,0.72,2.5,1131.815044858523,0,0
255,2000,Tyrone Hill,PF,31.0,PHI,68.0,2155.0,14.6,0.529,0.002,0.395,11.1,21.1,4.0,1.5,0.9,13.9,18.2,2.2,3.5,5.7,0.128,-1.3,0.5,0.0,0.485,0.691,1.5,0.84,4.6,0.9,5.5,-802.005012531329,1,1
257,2000,Johnny Newman,SF,36.0,NJN,82.0,1763.0,13.6,0.566,0.305,0.368,2.4,7.5,6.2,1.6,0.4,11.0,20.5,2.9,0.6,3.5,0.095,0.3,-2.7,0.379,0.476,0.838,-1.1,0.86,-5.4,0.61,3.4,86.87103594080328,0,0
259,2000,Karl Malone,PF,36.0,UTA,82.0,2947.0,27.1,0.582,0.005,0.501,7.1,24.7,20.9,1.4,1.9,11.4,31.9,10.7,4.5,15.3,0.249,5.2,1.7,0.25,0.511,0.797,4.6,0.79,5.2,0.66,13.1,0.38657627457847493,0,3
260,2000,Olden Polynice,C,35.0,UTA,82.0,1819.0,10.4,0.497,0.005,0.226,11.4,18.8,3.2,0.9,3.5,13.8,12.9,0.7,2.5,3.2,0.084,-2.3,1.6,0.5,0.51,0.311,4.6,0.79,5.2,0.66,2.0,0.14822968262704053,0,0
261,2000,John Stockton,PG,37.0,UTA,82.0,2432.0,22.4,0.591,0.167,0.354,2.3,8.3,48.1,3.1,0.5,17.6,19.3,8.2,3.1,11.2,0.222,4.7,-1.0,0.355,0.53,0.86,4.6,0.79,5.2,0.66,10.8,1.5564116675839315,0,1
262,2000,George McCloud,SF,32.0,DEN,78.0,2118.0,13.2,0.548,0.444,0.284,3.7,11.0,18.0,1.1,0.8,15.7,17.5,2.7,1.0,3.8,0.086,1.2,-1.1,0.378,0.448,0.818,-2.3,0.57,-2.8,0.7,2.6,1.5676328502415466,0,0
264,2000,Anthony Peeler,SG,30.0,MIN,82.0,2073.0,13.2,0.52,0.352,0.15,3.2,9.9,14.3,1.6,0.3,9.9,18.7,2.4,1.6,4.1,0.094,1.0,-1.4,0.333,0.491,0.798,2.5,0.87,1.6,0.73,3.2,2.109169859514688,0,0
267,2001,Darrell Armstrong,PG,32.0,ORL,75.0,2767.0,18.6,0.535,0.402,0.249,3.7,10.2,31.3,2.5,0.3,15.2,21.0,5.8,2.9,8.7,0.151,4.0,-0.5,0.355,0.451,0.884,1.0,0.56,1.5,0.78,7.6,-1377.2577996715918,1,2
269,2001,Dale Davis,C,31.0,POR,81.0,2162.0,15.1,0.524,0.008,0.312,13.3,19.9,7.4,1.1,2.6,10.8,13.4,3.8,2.8,6.6,0.147,0.2,1.5,0.0,0.501,0.632,4.2,0.81,3.3,0.71,8.5,896.1306183528411,0,1
270,2001,Shawn Kemp,PF,31.0,POR,68.0,1083.0,11.4,0.469,0.027,0.317,7.2,20.9,9.9,2.2,1.6,17.4,24.5,-0.8,1.7,0.9,0.041,-4.5,0.1,0.364,0.408,0.771,4.2,0.81,3.3,0.71,1.9,3458.749755046052,0,0
271,2001,Scottie Pippen,SF,35.0,POR,64.0,2133.0,15.3,0.541,0.312,0.27,4.1,14.2,21.8,2.4,1.2,18.8,17.9,2.4,2.7,5.1,0.115,1.3,1.5,0.344,0.5,0.739,4.2,0.81,3.3,0.71,3.7,1.133975812547242,0,1
273,2001,Steve Smith,SG,31.0,POR,81.0,2542.0,15.9,0.587,0.292,0.44,4.2,8.4,13.6,1.0,0.7,12.7,19.7,6.6,1.6,8.2,0.155,2.5,-1.5,0.339,0.504,0.89,4.2,0.81,6.9,0.59,6.4,-431.6686024003089,1,1
275,2001,Michael Curry,SG,32.0,DET,68.0,1485.0,7.5,0.507,0.028,0.229,1.5,7.4,13.9,0.9,0.1,14.8,12.0,0.8,0.9,1.7,0.055,-2.9,-0.7,0.444,0.455,0.849,-1.8,0.4,2.3,0.63,2.3,10632.352941176467,0,0
276,2001,Jon Barry,SG,31.0,SAC,62.0,1010.0,12.4,0.55,0.518,0.286,1.8,8.1,19.0,1.4,0.4,15.6,14.9,1.5,0.9,2.4,0.114,0.0,-1.4,0.348,0.463,0.877,5.7,0.71,2.3,0.63,7.5,13641.586360266863,0,0
277,2001,Doug Christie,SG,30.0,SAC,81.0,2939.0,14.8,0.538,0.317,0.396,3.6,9.3,14.6,3.2,1.0,14.3,16.2,4.3,4.4,8.7,0.141,1.4,2.3,0.376,0.403,0.897,5.7,0.71,8.1,0.83,8.6,-76.00351047604413,1,1
278,2001,Vlade Divac,C,32.0,SAC,81.0,2420.0,17.7,0.536,0.019,0.464,9.5,20.2,15.2,1.8,2.6,17.4,20.1,3.1,4.3,7.4,0.147,-0.1,2.9,0.286,0.486,0.691,5.7,0.71,8.1,0.83,7.3,-89.35547853264727,1,1
281,2001,LaPhonso Ellis,PF,30.0,MIN,82.0,1948.0,16.0,0.524,0.034,0.333,11.6,17.5,7.5,1.8,2.7,12.8,19.6,2.9,2.3,5.2,0.127,-0.3,0.5,0.318,0.469,0.79,1.6,0.73,-1.7,0.51,2.2,3.0199771689497723,0,0
282,2001,Anthony Peeler,SG,31.0,MIN,75.0,2126.0,12.6,0.513,0.35,0.119,2.3,8.0,13.9,2.2,0.6,12.0,18.6,1.6,1.5,3.2,0.071,0.5,-1.0,0.391,0.437,0.862,1.6,0.73,3.4,0.79,3.8,2436.8578767123277,0,0
286,2001,Hakeem Olajuwon,C,38.0,HOU,58.0,1545.0,20.7,0.526,0.002,0.349,9.5,22.4,8.3,2.4,4.0,11.0,21.9,2.4,2.6,5.0,0.155,-0.2,2.2,0.0,0.499,0.621,2.4,0.88,-0.6,0.9,2.1,2.1649686520376177,0,1
287,2001,Walt Williams,SF,30.0,HOU,72.0,1583.0,12.6,0.527,0.483,0.246,2.3,15.3,10.0,1.0,1.2,11.4,18.7,1.8,1.2,3.0,0.09,0.2,-1.2,0.395,0.392,0.77,2.4,0.88,-5.4,0.7,1.7,6.437937062937062,0,0
288,2001,Sam Cassell,PG,31.0,MIL,76.0,2709.0,20.1,0.542,0.087,0.285,1.9,10.1,36.4,1.7,0.2,14.7,24.9,7.0,1.4,8.5,0.15,2.9,-1.9,0.306,0.49,0.858,4.2,0.75,-0.3,0.81,8.6,126.72268907562982,0,2
289,2001,Lindsey Hunter,PG,30.0,MIL,82.0,2002.0,14.8,0.5,0.52,0.123,1.8,7.7,17.4,2.7,0.4,7.6,20.2,3.1,1.4,4.6,0.109,2.3,-1.8,0.373,0.388,0.802,4.2,0.75,7.6,0.79,2.0,-5121.048999309866,1,0
292,2001,Chris Childs,PG,33.0,NYK,51.0,1309.0,9.1,0.506,0.288,0.207,1.3,11.1,29.0,1.6,0.4,28.8,12.7,0.1,1.8,2.0,0.073,-2.3,0.7,0.313,0.462,0.848,3.0,0.76,-0.6,0.9,1.1,2.748538011695907,0,0
295,2001,Latrell Sprewell,SF,30.0,NYK,77.0,3017.0,15.1,0.497,0.111,0.288,2.0,11.6,17.2,1.9,0.8,13.7,25.8,0.5,4.6,5.1,0.082,-0.6,1.1,0.304,0.446,0.783,3.0,0.76,-4.2,0.8,2.8,5.48512585812357,0,0
296,2001,Charlie Ward,PG,30.0,NYK,61.0,1492.0,14.5,0.536,0.469,0.188,2.7,10.0,31.1,2.6,0.5,21.7,16.9,1.5,2.4,3.9,0.127,1.1,0.7,0.383,0.444,0.8,3.0,0.76,-4.2,0.8,1.9,4.823684210526315,0,0
297,2001,Antonio Davis,C,32.0,TOR,78.0,2729.0,16.5,0.508,0.001,0.488,11.0,21.7,6.2,0.4,3.9,11.4,19.5,4.2,3.1,7.2,0.127,-0.9,0.8,0.0,0.434,0.754,2.3,0.64,-0.6,0.9,6.5,14.059006211180122,0,1
298,2001,Mark Jackson,PG,35.0,TOR,54.0,1802.0,16.3,0.528,0.409,0.189,2.6,9.2,41.3,1.8,0.3,21.1,13.7,3.5,1.2,4.7,0.125,1.7,-2.1,0.345,0.475,0.842,2.3,0.64,-4.2,0.8,6.0,9079.555966697502,0,1
299,2001,Charles Oakley,PF,37.0,TOR,78.0,2767.0,11.6,0.439,0.062,0.193,5.6,25.0,14.6,1.4,1.2,14.0,16.0,0.2,3.5,3.7,0.065,-2.1,2.2,0.224,0.399,0.836,2.3,0.64,-9.1,0.45,-0.5,3.3316996635610763,0,0
300,2001,Hubert Davis,PG,30.0,DAL,51.0,1261.0,9.1,0.559,0.424,0.131,1.6,7.9,7.2,1.2,0.1,14.4,14.0,0.8,0.7,1.5,0.058,-0.3,-1.0,0.436,0.448,0.854,4.4,0.67,-1.6,0.67,1.7,1818.1818181818176,0,0
302,2001,Lucious Harris,SG,30.0,NJN,73.0,2071.0,12.9,0.498,0.212,0.223,3.8,12.4,11.3,1.9,0.6,8.5,16.4,2.0,1.2,3.1,0.073,-0.5,-0.5,0.348,0.445,0.77,-5.4,0.61,4.3,0.41,5.1,9904.616409111384,0,0
306,2001,Avery Johnson,PG,35.0,SAS,55.0,1290.0,11.5,0.475,0.02,0.2,1.9,5.3,29.5,1.4,0.2,15.5,14.1,1.3,1.3,2.6,0.098,-1.4,-1.3,0.167,0.452,0.683,8.3,0.75,-6.3,0.66,2.8,1283.0398517145486,0,0
307,2001,Terry Porter,PG,37.0,SAS,80.0,1678.0,15.5,0.583,0.466,0.264,1.7,11.4,24.5,1.7,0.5,17.5,16.7,3.0,2.3,5.4,0.154,2.0,0.2,0.424,0.468,0.793,8.3,0.75,6.9,0.59,3.5,0.9834369055168042,0,0
