,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Player Level
156,1999,Randy Brown,PG,30.0,CHI,39.0,1139.0,12.6,0.469,0.031,0.323,2.7,11.4,25.1,3.3,0.5,18.0,18.4,-0.3,1.3,1.0,0.041,-2.6,0.8,0.0,0.427,0.757,-10.4,-10.0,-0.8,-692.3076923076928,1,0
157,1999,Mark Bryant,PF,33.0,CHI,45.0,1204.0,12.1,0.513,0.003,0.316,8.6,14.4,8.0,1.5,1.0,14.6,18.1,0.5,1.0,1.5,0.06,-2.4,-0.3,0.0,0.484,0.645,-10.4,-3.5,2.4,3980.7692307692305,0,0
158,1999,Ron Harper,SG,35.0,CHI,35.0,1107.0,14.7,0.451,0.218,0.259,5.0,14.7,20.6,3.0,2.4,13.0,21.2,-0.2,1.4,1.2,0.053,-0.9,1.9,0.318,0.393,0.703,-10.4,9.0,4.0,43525.64102564102,0,1
162,1999,Chris Childs,PG,31.0,NYK,48.0,1297.0,11.1,0.544,0.352,0.292,1.7,10.1,25.8,1.9,0.1,22.0,14.3,1.2,1.7,2.9,0.106,-0.3,0.4,0.383,0.451,0.821,1.2,1.5,2.1,-689.6551724137931,1,1
163,1999,Patrick Ewing,C,36.0,NYK,38.0,1300.0,19.4,0.491,0.004,0.407,7.0,26.5,7.0,1.3,6.0,12.9,28.4,0.2,3.1,3.3,0.123,-3.3,2.8,0.0,0.436,0.706,1.2,1.5,4.8,1136.363636363637,0,1
164,1999,Bimbo Coles,PG,30.0,GSW,48.0,1272.0,14.8,0.496,0.06,0.244,1.7,8.3,30.6,1.9,0.6,15.2,18.9,1.6,1.1,2.7,0.103,-0.3,-0.7,0.24,0.455,0.822,-2.9,-5.7,2.3,6.51724137931034,0,1
166,1999,John Starks,SG,33.0,GSW,50.0,1686.0,13.9,0.447,0.37,0.137,2.0,8.4,25.2,2.2,0.2,9.7,22.5,1.5,1.5,3.0,0.085,1.7,-0.6,0.29,0.416,0.74,-2.9,-8.4,0.5,2.275862068965517,0,1
167,1999,Michael Curry,SF,30.0,MIL,50.0,1146.0,8.7,0.507,0.073,0.383,2.0,9.2,10.5,2.0,0.5,13.3,11.6,0.9,0.8,1.7,0.07,-1.3,0.4,0.067,0.466,0.797,1.8,1.4,2.0,22.22222222222223,0,0
168,1999,Vinny Del,PG,32.0,MIL,48.0,1093.0,12.3,0.481,0.111,0.185,1.6,9.6,25.5,1.7,0.2,15.9,15.2,1.0,0.6,1.6,0.07,-0.9,-1.3,0.433,0.421,0.8,1.8,0.3,1.5,13.333333333333321,0,1
171,1999,Mark Jackson,PG,33.0,IND,49.0,1382.0,17.9,0.513,0.313,0.24,2.9,12.7,45.4,1.7,0.2,21.4,16.0,3.0,0.9,3.8,0.134,2.8,-1.3,0.311,0.469,0.823,4.3,5.1,6.7,1419.828641370869,0,1
172,1999,Reggie Miller,SG,33.0,IND,50.0,1787.0,18.7,0.59,0.41,0.368,1.7,7.2,11.4,1.2,0.4,8.9,22.9,6.0,0.4,6.4,0.172,5.6,-2.1,0.385,0.475,0.915,4.3,5.1,10.1,1075.5813953488368,0,2
174,1999,Rik Smits,C,32.0,IND,49.0,1271.0,20.2,0.527,0.003,0.209,6.9,18.5,8.7,0.8,3.0,9.8,28.9,2.3,1.2,3.4,0.13,0.4,-1.0,0.0,0.491,0.818,4.3,5.1,3.8,218.87824897400813,0,1
175,1999,Vlade Divac,C,30.0,SAC,50.0,1761.0,18.0,0.533,0.077,0.458,8.4,21.5,19.2,1.2,1.8,16.4,19.4,3.1,2.1,5.2,0.142,0.8,1.8,0.256,0.488,0.702,-0.4,2.9,7.2,31730.76923076922,0,1
177,1999,Mario Elie,SG,35.0,SAS,47.0,1291.0,14.5,0.593,0.323,0.36,3.3,8.3,11.5,1.9,0.6,13.7,16.0,2.6,1.9,4.5,0.169,1.7,1.1,0.374,0.518,0.866,9.1,6.4,4.6,29.670329670329664,0,1
179,1999,Avery Johnson,PG,33.0,SAS,50.0,1672.0,14.0,0.487,0.026,0.191,1.6,6.1,37.4,1.7,0.5,18.3,17.0,1.7,2.2,3.9,0.111,-0.5,-0.8,0.083,0.483,0.568,9.1,6.4,6.3,29.670329670329664,0,1
180,1999,David Robinson,C,33.0,SAS,49.0,1554.0,24.9,0.564,0.002,0.689,11.4,23.4,12.1,2.4,5.3,13.6,23.8,4.0,4.4,8.4,0.261,2.2,5.3,0.0,0.51,0.658,9.1,6.4,12.7,29.670329670329664,0,2
182,1999,Hersey Hawkins,SG,32.0,SEA,50.0,1644.0,14.0,0.554,0.441,0.324,3.5,10.6,12.0,2.6,0.8,14.6,15.1,2.6,0.9,3.5,0.102,1.1,0.3,0.306,0.509,0.902,-0.9,-10.0,2.6,39.32098765432099,0,1
183,1999,Gary Payton,PG,30.0,SEA,50.0,2008.0,23.1,0.519,0.304,0.299,3.5,10.6,41.3,2.9,0.4,12.9,27.1,6.0,1.2,7.2,0.172,6.3,-0.9,0.295,0.495,0.721,-0.9,1.0,13.9,19645.061728395063,0,2
184,1999,Olden Polynice,C,34.0,SEA,48.0,1481.0,11.8,0.461,0.003,0.263,14.2,19.0,4.7,0.7,1.5,10.9,13.7,1.3,0.7,2.0,0.065,-1.7,-0.6,1.0,0.471,0.309,-0.9,4.6,3.2,36666.66666666667,0,0
185,1999,Detlef Schrempf,SF,36.0,SEA,50.0,1765.0,18.4,0.573,0.157,0.443,5.0,19.4,18.0,1.2,1.1,13.6,19.5,4.7,1.1,5.8,0.158,1.9,0.0,0.395,0.486,0.823,-0.9,6.9,5.2,-8965.517241379306,1,2
186,1999,Danny Ferry,PF,32.0,CLE,50.0,1058.0,11.0,0.562,0.328,0.111,1.9,10.3,9.7,1.2,0.8,11.2,16.1,1.0,0.7,1.7,0.077,-0.2,-1.2,0.392,0.518,0.879,-1.9,-3.5,2.7,84.21052631578948,0,1
188,1999,Sam Mitchell,SF,35.0,MIN,50.0,1344.0,14.1,0.472,0.073,0.316,4.2,11.5,12.0,1.4,0.9,5.4,20.6,1.9,1.1,3.0,0.108,-0.6,-1.0,0.237,0.421,0.764,0.5,2.5,2.3,-9333.333333333336,1,1
189,1999,Kendall Gill,SF,30.0,NJN,50.0,1606.0,14.8,0.441,0.029,0.282,4.0,13.3,13.8,4.4,1.2,9.6,20.3,0.3,2.2,2.6,0.076,-1.1,2.3,0.118,0.406,0.683,-4.2,-1.1,3.7,3122.710622710623,0,0
191,1999,Tim Hardaway,PG,32.0,MIA,48.0,1772.0,18.8,0.511,0.414,0.198,1.1,8.7,39.6,1.8,0.3,13.8,26.5,3.4,1.9,5.4,0.146,4.5,-1.6,0.36,0.429,0.812,5.8,3.1,4.3,2.2852664576802497,0,2
192,1999,Dan Majerle,SG,33.0,MIA,48.0,1624.0,10.2,0.529,0.681,0.154,1.7,13.0,15.4,1.3,0.3,14.7,11.4,1.6,1.9,3.5,0.103,0.9,1.0,0.335,0.526,0.717,5.8,3.1,6.1,46.55172413793103,0,1
193,1999,Terry Porter,PG,35.0,MIA,50.0,1365.0,16.9,0.603,0.381,0.4,1.2,10.5,19.6,2.0,0.6,14.5,18.4,3.3,1.7,5.0,0.178,2.8,0.0,0.411,0.498,0.831,5.8,6.4,5.6,124.13793103448279,0,1
195,1999,Jeff Hornacek,SG,35.0,UTA,48.0,1435.0,17.8,0.575,0.18,0.312,3.0,10.1,24.7,2.0,0.7,13.8,19.7,3.5,1.8,5.3,0.176,2.7,0.4,0.42,0.489,0.893,7.4,4.6,6.5,37.837837837837846,0,2
196,1999,Karl Malone,PF,35.0,UTA,49.0,1832.0,25.6,0.577,0.001,0.602,7.7,22.1,23.0,1.9,1.2,13.8,30.5,6.2,3.4,9.6,0.252,4.5,2.3,0.0,0.494,0.788,7.4,4.6,15.3,37.837837837837846,0,3
197,1999,John Stockton,PG,36.0,UTA,50.0,1410.0,21.9,0.571,0.122,0.412,2.9,9.3,48.3,3.2,0.7,18.5,20.1,4.2,2.2,6.4,0.217,4.0,-0.1,0.32,0.511,0.811,7.4,4.6,11.2,37.837837837837846,0,1
199,1999,Mitch Richmond,SG,33.0,WAS,50.0,1912.0,15.5,0.527,0.275,0.365,1.8,8.9,11.4,1.8,0.4,12.7,25.7,2.2,1.0,3.3,0.082,1.4,-1.8,0.317,0.448,0.857,-2.3,-3.4,5.2,47.82608695652175,0,2
200,1999,Rod Strickland,PG,32.0,WAS,44.0,1632.0,20.2,0.488,0.07,0.391,3.9,11.4,45.9,2.5,0.2,16.7,24.0,2.8,1.3,4.1,0.12,3.1,-0.3,0.286,0.426,0.746,-2.3,-3.4,3.7,4.902173913043486,0,1
202,1999,Arvydas Sabonis,C,34.0,POR,50.0,1349.0,20.4,0.546,0.05,0.366,7.8,25.2,16.2,1.4,3.5,13.3,21.7,3.0,2.9,5.8,0.207,1.0,3.3,0.292,0.496,0.771,6.6,6.9,7.1,101.88087774294695,0,2
204,2000,Jon Barry,SG,30.0,SAC,62.0,1281.0,15.9,0.623,0.445,0.335,3.1,9.9,16.7,2.8,0.4,17.6,15.7,2.6,1.6,4.2,0.157,1.9,0.7,0.429,0.495,0.922,2.9,5.7,2.4,-4137.93103448276,1,0
205,2000,Vlade Divac,C,31.0,SAC,82.0,2374.0,18.0,0.552,0.034,0.436,7.6,21.3,15.4,2.1,2.8,17.3,19.3,3.0,4.1,7.2,0.145,-0.1,3.5,0.269,0.511,0.691,2.9,5.7,7.4,268.1992337164753,0,1
207,2000,Scottie Pippen,SF,34.0,POR,82.0,2749.0,16.4,0.533,0.306,0.259,5.1,16.2,23.7,2.3,1.1,17.8,19.6,3.4,4.4,7.8,0.137,2.0,2.2,0.327,0.506,0.717,6.9,4.2,5.1,1.1304347826086956,0,2
208,2000,Arvydas Sabonis,C,35.0,POR,66.0,1688.0,20.3,0.568,0.032,0.331,7.1,27.6,12.0,1.4,3.4,12.4,21.4,3.6,3.5,7.1,0.203,0.2,2.6,0.368,0.509,0.843,6.9,4.2,3.7,0.8171355498721228,0,2
210,2000,Steve Smith,SG,30.0,POR,82.0,2689.0,17.3,0.584,0.268,0.378,5.7,7.9,12.8,1.4,0.9,10.0,20.0,7.7,2.7,10.4,0.186,3.6,-0.4,0.398,0.492,0.85,6.9,4.2,8.2,1.849802371541501,0,1
211,2000,Darrell Armstrong,PG,31.0,ORL,82.0,2590.0,19.5,0.542,0.36,0.221,2.7,8.6,31.4,3.2,0.2,16.8,23.9,4.6,3.4,8.0,0.149,4.3,0.0,0.34,0.485,0.911,0.8,1.0,8.7,218.74999999999972,0,2
212,2000,Chris Gatling,PF,32.0,ORL,45.0,1041.0,17.4,0.525,0.05,0.53,9.5,21.5,6.4,2.3,0.7,15.6,27.2,0.8,1.7,2.5,0.115,-1.3,-0.6,0.304,0.462,0.698,0.8,-4.2,2.4,156.24999999999986,0,0
214,2000,Mitch Richmond,SG,34.0,WAS,74.0,2397.0,16.5,0.536,0.23,0.324,1.8,8.6,13.5,2.4,0.4,11.4,25.0,3.8,1.4,5.2,0.104,1.9,-1.4,0.386,0.438,0.876,-3.4,-6.8,1.6,1.4444444444444446,0,2
215,2000,Rod Strickland,PG,33.0,WAS,69.0,2188.0,17.1,0.485,0.028,0.4,3.8,9.9,38.9,2.2,0.6,17.3,22.0,2.4,1.3,3.7,0.081,1.2,-0.7,0.048,0.44,0.702,-3.4,-6.8,1.8,1.9473684210526316,0,1
216,2000,Dana Barros,PG,32.0,BOS,72.0,1139.0,15.1,0.552,0.331,0.175,1.2,9.1,19.4,1.4,0.3,12.3,20.4,2.0,0.5,2.4,0.103,0.9,-3.1,0.41,0.471,0.868,-1.1,-1.8,2.3,15.272727272727256,0,0
217,2000,Mookie Blaylock,PG,32.0,GSW,73.0,2459.0,15.1,0.468,0.36,0.114,2.2,9.8,31.8,3.0,0.6,14.0,17.5,1.9,1.4,3.3,0.065,1.0,-0.8,0.336,0.422,0.705,-8.4,-9.2,3.5,9.523809523809511,0,1
219,2000,John Starks,SG,34.0,GSW,33.0,1108.0,12.4,0.456,0.317,0.106,0.9,8.2,26.2,1.7,0.2,10.7,22.6,0.4,0.1,0.5,0.024,0.3,-3.1,0.348,0.392,0.833,-8.4,5.2,2.1,51809.52380952381,0,1
223,2000,Charles Oakley,PF,36.0,TOR,80.0,2431.0,10.1,0.459,0.073,0.152,5.2,20.2,15.8,2.2,1.3,20.5,13.7,-0.7,2.9,2.2,0.044,-2.9,2.3,0.341,0.424,0.776,-0.1,2.3,3.7,163636.3636363636,0,1
224,2000,Kevin Willis,PF,37.0,TOR,79.0,1679.0,12.3,0.471,0.005,0.288,13.0,19.4,4.8,1.1,2.0,13.3,19.5,0.7,1.6,2.3,0.066,-3.1,-1.2,0.333,0.415,0.799,-0.1,-2.8,1.4,68.99999999999999,0,1
226,2000,Tim Hardaway,PG,33.0,MIA,52.0,1672.0,16.4,0.5,0.401,0.208,1.8,8.3,38.2,1.6,0.2,14.6,22.8,2.6,1.6,4.3,0.123,2.6,-2.1,0.367,0.398,0.827,3.1,2.3,6.4,25.806451612903235,0,2
227,2000,Dan Majerle,SG,34.0,MIA,69.0,2308.0,11.4,0.559,0.72,0.164,1.4,14.6,13.2,2.1,0.5,12.1,10.4,2.8,3.3,6.1,0.126,1.0,1.9,0.362,0.508,0.812,3.1,2.3,2.6,0.4497695852534564,0,1
228,2000,Randy Brown,PG,31.0,CHI,59.0,1625.0,7.3,0.402,0.014,0.193,1.6,8.9,22.6,2.0,0.7,18.2,16.2,-2.0,1.2,-0.8,-0.024,-5.2,-0.5,0.5,0.359,0.738,-10.0,-2.2,0.9,16575.0,0,0
232,2000,Danny Ferry,PF,33.0,CLE,63.0,1326.0,11.8,0.571,0.197,0.15,4.6,15.6,8.3,0.8,1.3,12.0,15.1,1.6,1.1,2.7,0.099,-1.0,-0.3,0.44,0.511,0.912,-3.5,8.3,4.1,17481.481481481474,0,1
233,2000,Shawn Kemp,C,30.0,CLE,82.0,2492.0,17.2,0.508,0.005,0.547,10.2,22.4,10.0,2.0,2.8,16.8,30.2,0.2,3.8,4.0,0.077,-2.3,0.8,0.333,0.418,0.776,-3.5,4.2,0.9,-17050.000000000004,1,0
234,2000,Matt Bullard,PF,32.0,HOU,56.0,1024.0,11.9,0.541,0.521,0.088,1.5,13.4,9.9,0.9,0.8,9.2,16.7,1.3,0.6,1.8,0.087,0.1,-1.9,0.446,0.368,0.833,-0.8,2.4,2.6,17777.77777777778,0,0
235,2000,Hakeem Olajuwon,C,37.0,HOU,44.0,1049.0,16.7,0.484,0.005,0.266,7.1,21.9,10.2,2.0,4.3,13.4,22.7,0.0,1.6,1.6,0.072,-3.0,2.0,0.0,0.461,0.616,-0.8,2.4,5.0,85000.0,0,3
236,2000,Sam Cassell,PG,30.0,MIL,81.0,2899.0,21.1,0.551,0.077,0.38,2.8,9.3,41.1,1.8,0.2,16.4,25.0,8.4,0.8,9.2,0.152,4.1,-2.3,0.289,0.481,0.876,0.3,4.2,8.5,-9891.30434782608,1,2
238,2000,Ervin Johnson,C,32.0,MIL,80.0,2129.0,12.7,0.55,0.004,0.563,12.8,22.7,2.8,2.0,4.5,18.7,8.9,2.4,2.6,4.9,0.111,-1.0,2.7,0.0,0.518,0.605,0.3,4.2,5.1,5306.122448979573,0,1
239,2000,Danny Manning,PF,33.0,MIL,72.0,1217.0,10.1,0.46,0.012,0.153,4.8,15.1,8.9,2.6,1.8,13.2,15.2,-0.1,1.1,1.0,0.039,-2.8,0.8,0.25,0.442,0.654,0.3,5.2,2.6,261333.33333333337,0,0
243,2000,Chris Childs,PG,32.0,NYK,71.0,1675.0,8.6,0.491,0.291,0.165,1.2,8.9,26.4,1.2,0.2,21.5,13.8,0.4,1.7,2.1,0.061,-1.9,-0.4,0.356,0.431,0.797,1.5,3.0,2.0,-476.19047619047655,1,1
244,2000,Patrick Ewing,C,37.0,NYK,62.0,2035.0,16.9,0.516,0.003,0.365,8.4,26.2,5.2,1.0,3.1,13.6,24.3,0.9,3.9,4.8,0.113,-2.8,1.2,0.0,0.467,0.731,1.5,0.2,2.0,1.4857142857142858,0,1
245,2000,Larry Johnson,PF,30.0,NYK,70.0,2281.0,12.4,0.517,0.267,0.256,4.7,14.8,12.6,1.0,0.2,11.5,17.0,2.3,2.7,5.1,0.107,0.4,0.9,0.333,0.469,0.766,1.5,3.0,4.1,-1960.7843137254904,1,1
248,2000,Michael Curry,SG,31.0,DET,82.0,1611.0,8.6,0.559,0.013,0.443,1.5,6.0,8.3,1.0,0.2,13.9,14.3,1.6,0.5,2.0,0.06,-2.1,-1.9,0.2,0.484,0.839,1.4,-1.8,1.7,15.238095238095239,0,0
252,2000,Mark Jackson,PG,34.0,IND,81.0,2190.0,17.7,0.538,0.388,0.172,3.4,11.5,45.0,1.8,0.3,22.1,16.3,4.6,2.0,6.7,0.146,2.5,-1.0,0.403,0.45,0.806,5.1,2.3,4.7,1.8392156862745102,0,1
253,2000,Reggie Miller,SG,34.0,IND,81.0,2987.0,17.3,0.603,0.388,0.39,2.0,6.8,10.2,1.5,0.6,9.6,20.5,8.0,2.0,10.1,0.162,4.0,-0.8,0.408,0.473,0.919,5.1,-0.2,10.3,103.921568627451,0,2
258,2000,Avery Johnson,PG,34.0,SAS,82.0,2571.0,14.8,0.5,0.011,0.182,1.5,5.3,32.5,1.6,0.5,13.2,19.0,3.3,3.0,6.3,0.117,0.1,-1.2,0.111,0.477,0.735,6.4,8.3,2.6,-1743.551587301588,1,1
260,2000,Terry Porter,PG,36.0,SAS,68.0,1613.0,16.6,0.596,0.447,0.367,1.8,11.3,22.3,1.6,0.4,15.7,18.3,3.4,2.3,5.6,0.168,2.7,0.0,0.435,0.457,0.806,6.4,8.3,5.4,-106.02678571428537,1,1
261,2000,David Robinson,C,34.0,SAS,80.0,2557.0,24.6,0.568,0.002,0.496,9.0,24.5,10.3,2.0,4.9,11.6,25.6,6.2,6.4,12.7,0.238,1.6,3.9,0.0,0.513,0.726,6.4,8.3,12.1,-140.25590551181097,1,2
262,2000,Rick Fox,SF,30.0,LAL,82.0,1473.0,11.7,0.502,0.363,0.157,4.6,9.7,14.4,1.8,1.2,14.0,18.5,0.9,2.3,3.2,0.104,-0.4,0.2,0.326,0.464,0.808,9.0,3.5,5.1,61.111111111111114,0,1
263,2000,A.C. Green,PF,36.0,LAL,82.0,1929.0,11.2,0.482,0.01,0.245,9.0,17.9,5.9,1.4,0.7,11.0,11.0,1.7,3.3,5.0,0.124,-2.0,1.8,0.25,0.449,0.695,9.0,2.3,3.2,2.067901234567901,0,0
264,2000,Ron Harper,PG,36.0,LAL,80.0,2042.0,12.0,0.468,0.2,0.277,5.1,12.5,19.2,2.1,1.3,18.1,15.6,0.4,3.5,4.0,0.093,-1.4,2.1,0.311,0.421,0.68,9.0,3.5,1.8,1.111111111111111,0,1
265,2000,Glen Rice,SF,32.0,LAL,80.0,2530.0,16.2,0.551,0.234,0.404,2.4,11.3,11.1,1.0,0.3,9.0,22.0,5.7,3.2,9.0,0.17,1.4,-1.0,0.367,0.449,0.874,9.0,3.0,5.7,1.8181818181818181,0,2
266,2000,Brian Shaw,SG,33.0,LAL,74.0,1249.0,10.9,0.441,0.18,0.168,3.9,14.5,23.2,1.4,0.8,17.8,14.8,0.2,2.0,2.1,0.082,-2.5,0.9,0.31,0.398,0.759,9.0,3.5,2.5,61.111111111111114,0,0
268,2000,Tyrone Hill,PF,31.0,PHI,68.0,2155.0,14.6,0.529,0.002,0.395,11.1,21.1,4.0,1.5,0.9,13.9,18.2,2.2,3.5,5.7,0.128,-1.3,0.5,0.0,0.485,0.691,1.5,4.6,5.5,-725.14619883041,1,1
270,2000,Johnny Newman,SF,36.0,NJN,82.0,1763.0,13.6,0.566,0.305,0.368,2.4,7.5,6.2,1.6,0.4,11.0,20.5,2.9,0.6,3.5,0.095,0.3,-2.7,0.379,0.476,0.838,-1.1,-5.4,3.4,136.8181818181817,0,0
271,2000,Horace Grant,PF,34.0,SEA,76.0,2688.0,11.7,0.472,0.007,0.185,6.7,17.5,10.2,1.1,1.6,8.6,11.6,2.7,2.5,5.2,0.093,-1.8,1.9,0.0,0.447,0.721,1.0,3.5,6.5,6249.999999999998,0,1
272,2000,Gary Payton,PG,31.0,SEA,82.0,3425.0,23.6,0.535,0.312,0.254,3.2,13.9,37.7,2.3,0.4,10.8,26.8,10.5,3.5,13.9,0.195,6.7,0.1,0.34,0.497,0.735,1.0,0.2,10.8,3.587096774193549,0,2
274,2000,Karl Malone,PF,36.0,UTA,82.0,2947.0,27.1,0.582,0.005,0.501,7.1,24.7,20.9,1.4,1.9,11.4,31.9,10.7,4.5,15.3,0.249,5.2,1.7,0.25,0.511,0.797,4.6,5.2,13.1,-187.5532821824385,1,3
275,2000,Olden Polynice,C,35.0,UTA,82.0,1819.0,10.4,0.497,0.005,0.226,11.4,18.8,3.2,0.9,3.5,13.8,12.9,0.7,2.5,3.2,0.084,-2.3,1.6,0.5,0.51,0.311,4.6,5.2,2.0,-489.1304347826093,1,0
276,2000,John Stockton,PG,37.0,UTA,82.0,2432.0,22.4,0.591,0.167,0.354,2.3,8.3,48.1,3.1,0.5,17.6,19.3,8.2,3.1,11.2,0.222,4.7,-1.0,0.355,0.53,0.86,4.6,5.2,10.8,-46.5838509316769,1,1
277,2000,George McCloud,SF,32.0,DEN,78.0,2118.0,13.2,0.548,0.444,0.284,3.7,11.0,18.0,1.1,0.8,15.7,17.5,2.7,1.0,3.8,0.086,1.2,-1.1,0.378,0.448,0.818,-2.3,-2.8,2.6,0.6884057971014494,0,0
279,2000,Anthony Peeler,SG,30.0,MIN,82.0,2073.0,13.2,0.52,0.352,0.15,3.2,9.9,14.3,1.6,0.3,9.9,18.7,2.4,1.6,4.1,0.094,1.0,-1.4,0.333,0.491,0.798,2.5,1.6,3.2,1.640000000000001,0,0
282,2001,Darrell Armstrong,PG,32.0,ORL,75.0,2767.0,18.6,0.535,0.402,0.249,3.7,10.2,31.3,2.5,0.3,15.2,21.0,5.8,2.9,8.7,0.151,4.0,-0.5,0.355,0.451,0.884,1.0,1.5,7.6,-632.1839080459768,1,2
284,2001,Dale Davis,C,31.0,POR,81.0,2162.0,15.1,0.524,0.008,0.312,13.3,19.9,7.4,1.1,2.6,10.8,13.4,3.8,2.8,6.6,0.147,0.2,1.5,0.0,0.501,0.632,4.2,3.3,8.5,21.428571428571434,0,1
285,2001,Shawn Kemp,PF,31.0,POR,68.0,1083.0,11.4,0.469,0.027,0.317,7.2,20.9,9.9,2.2,1.6,17.4,24.5,-0.8,1.7,0.9,0.041,-4.5,0.1,0.364,0.408,0.771,4.2,3.3,1.9,21.428571428571434,0,0
286,2001,Scottie Pippen,SF,35.0,POR,64.0,2133.0,15.3,0.541,0.312,0.27,4.1,14.2,21.8,2.4,1.2,18.8,17.9,2.4,2.7,5.1,0.115,1.3,1.5,0.344,0.5,0.739,4.2,3.3,3.7,0.7806122448979597,0,2
288,2001,Steve Smith,SG,31.0,POR,81.0,2542.0,15.9,0.587,0.292,0.44,4.2,8.4,13.6,1.0,0.7,12.7,19.7,6.6,1.6,8.2,0.155,2.5,-1.5,0.339,0.504,0.89,4.2,6.9,6.4,-1411.1498257839714,1,1
290,2001,Michael Curry,SG,32.0,DET,68.0,1485.0,7.5,0.507,0.028,0.229,1.5,7.4,13.9,0.9,0.1,14.8,12.0,0.8,0.9,1.7,0.055,-2.9,-0.7,0.444,0.455,0.849,-1.8,2.3,2.3,8039.215686274507,0,0
291,2001,Jon Barry,SG,31.0,SAC,62.0,1010.0,12.4,0.55,0.518,0.286,1.8,8.1,19.0,1.4,0.4,15.6,14.9,1.5,0.9,2.4,0.114,0.0,-1.4,0.348,0.463,0.877,5.7,2.3,7.5,59.64912280701755,0,0
292,2001,Doug Christie,SG,30.0,SAC,81.0,2939.0,14.8,0.538,0.317,0.396,3.6,9.3,14.6,3.2,1.0,14.3,16.2,4.3,4.4,8.7,0.141,1.4,2.3,0.376,0.403,0.897,5.7,8.1,8.6,-48.396854204476526,1,1
293,2001,Vlade Divac,C,32.0,SAC,81.0,2420.0,17.7,0.536,0.019,0.464,9.5,20.2,15.2,1.8,2.6,17.4,20.1,3.1,4.3,7.4,0.147,-0.1,2.9,0.286,0.486,0.691,5.7,8.1,7.3,-56.89900426742561,1,1
296,2001,LaPhonso Ellis,PF,30.0,MIN,82.0,1948.0,16.0,0.524,0.034,0.333,11.6,17.5,7.5,1.8,2.7,12.8,19.6,2.9,2.3,5.2,0.127,-0.3,0.5,0.318,0.469,0.79,1.6,-1.7,2.2,3.5749999999999993,0,0
297,2001,Anthony Peeler,SG,31.0,MIN,75.0,2126.0,12.6,0.513,0.35,0.119,2.3,8.0,13.9,2.2,0.6,12.0,18.6,1.6,1.5,3.2,0.071,0.5,-1.0,0.391,0.437,0.862,1.6,3.4,3.8,2109.374999999998,0,0
301,2001,Hakeem Olajuwon,C,38.0,HOU,58.0,1545.0,20.7,0.526,0.002,0.349,9.5,22.4,8.3,2.4,4.0,11.0,21.9,2.4,2.6,5.0,0.155,-0.2,2.2,0.0,0.499,0.621,2.4,-0.6,2.1,2.1551724137931036,0,3
302,2001,Walt Williams,SF,30.0,HOU,72.0,1583.0,12.6,0.527,0.483,0.246,2.3,15.3,10.0,1.0,1.2,11.4,18.7,1.8,1.2,3.0,0.09,0.2,-1.2,0.395,0.392,0.77,2.4,-5.4,1.7,7.500000000000001,0,0
303,2001,Sam Cassell,PG,31.0,MIL,76.0,2709.0,20.1,0.542,0.087,0.285,1.9,10.1,36.4,1.7,0.2,14.7,24.9,7.0,1.4,8.5,0.15,2.9,-1.9,0.306,0.49,0.858,4.2,-0.3,8.6,107.14285714285714,0,2
304,2001,Lindsey Hunter,PG,30.0,MIL,82.0,2002.0,14.8,0.5,0.52,0.123,1.8,7.7,17.4,2.7,0.4,7.6,20.2,3.1,1.4,4.6,0.109,2.3,-1.8,0.373,0.388,0.802,4.2,7.6,2.0,-4575.569358178052,1,0
307,2001,Chris Childs,PG,33.0,NYK,51.0,1309.0,9.1,0.506,0.288,0.207,1.3,11.1,29.0,1.6,0.4,28.8,12.7,0.1,1.8,2.0,0.073,-2.3,0.7,0.313,0.462,0.848,3.0,-0.6,1.1,2.666666666666667,0,1
310,2001,Latrell Sprewell,SF,30.0,NYK,77.0,3017.0,15.1,0.497,0.111,0.288,2.0,11.6,17.2,1.9,0.8,13.7,25.8,0.5,4.6,5.1,0.082,-0.6,1.1,0.304,0.446,0.783,3.0,-4.2,2.8,5.321739130434782,0,0
311,2001,Charlie Ward,PG,30.0,NYK,61.0,1492.0,14.5,0.536,0.469,0.188,2.7,10.0,31.1,2.6,0.5,21.7,16.9,1.5,2.4,3.9,0.127,1.1,0.7,0.383,0.444,0.8,3.0,-4.2,1.9,4.679999999999999,0,0
312,2001,Antonio Davis,C,32.0,TOR,78.0,2729.0,16.5,0.508,0.001,0.488,11.0,21.7,6.2,0.4,3.9,11.4,19.5,4.2,3.1,7.2,0.127,-0.9,0.8,0.0,0.434,0.754,2.3,-0.6,6.5,12.968944099378882,0,1
313,2001,Mark Jackson,PG,35.0,TOR,54.0,1802.0,16.3,0.528,0.409,0.189,2.6,9.2,41.3,1.8,0.3,21.1,13.7,3.5,1.2,4.7,0.125,1.7,-2.1,0.345,0.475,0.842,2.3,-4.2,6.0,282.60869565217394,0,1
